requirement,summary,phase,owner,status,implementation,tests,platforms
FR-APP-01,应用应保持单实例；第二次启动应唤起并聚焦已有窗口。,"Phase 1, Phase 8 and Phase 9",codez-desktop,planned,"codez-desktop implementation in Phase 1, Phase 8 and Phase 9; Electron remains the behavioral baseline until replacement evidence is linked.",src/tests/chat-runtime-ipc.test.ts;src/tests/smoke.test.ts;src/tests/task-capsule-theme-colors.test.ts,windows-x64; macos; linux
FR-APP-02,应保留当前无边框窗口、最小尺寸、最小化/最大化/关闭和最大化状态同步。,"Phase 1, Phase 8 and Phase 9",codez-desktop,planned,"codez-desktop implementation in Phase 1, Phase 8 and Phase 9; Electron remains the behavioral baseline until replacement evidence is linked.",src/tests/chat-runtime-ipc.test.ts;src/tests/smoke.test.ts;src/tests/task-capsule-theme-colors.test.ts,windows-x64; macos; linux
FR-APP-03,应支持系统/浅色/深色主题，并向前端同步系统主题变化。,"Phase 1, Phase 8 and Phase 9",codez-desktop,planned,"codez-desktop implementation in Phase 1, Phase 8 and Phase 9; Electron remains the behavioral baseline until replacement evidence is linked.",src/tests/chat-runtime-ipc.test.ts;src/tests/smoke.test.ts;src/tests/task-capsule-theme-colors.test.ts,windows-x64; macos; linux
FR-APP-04,外部 URL 必须由系统浏览器打开，WebView 不得直接导航到不受信任页面。,"Phase 1, Phase 8 and Phase 9",codez-desktop,planned,"codez-desktop implementation in Phase 1, Phase 8 and Phase 9; Electron remains the behavioral baseline until replacement evidence is linked.",src/tests/chat-runtime-ipc.test.ts;src/tests/smoke.test.ts;src/tests/task-capsule-theme-colors.test.ts,windows-x64; macos; linux
FR-APP-05,应保留全局显示/隐藏快捷键，并在应用退出时注销。,"Phase 1, Phase 8 and Phase 9",codez-desktop,planned,"codez-desktop implementation in Phase 1, Phase 8 and Phase 9; Electron remains the behavioral baseline until replacement evidence is linked.",src/tests/chat-runtime-ipc.test.ts;src/tests/smoke.test.ts;src/tests/task-capsule-theme-colors.test.ts,windows-x64; macos; linux
FR-APP-06,退出顺序必须停止聊天流、Agent、工具进程、PTY 和 MCP，再完成持久化。,"Phase 1, Phase 8 and Phase 9",codez-desktop,planned,"codez-desktop implementation in Phase 1, Phase 8 and Phase 9; Electron remains the behavioral baseline until replacement evidence is linked.",src/tests/chat-runtime-ipc.test.ts;src/tests/smoke.test.ts;src/tests/task-capsule-theme-colors.test.ts,windows-x64; macos; linux
FR-WS-01,支持目录选择、最近项目 CRUD、项目类型识别和文件树扫描。,Phase 3 and Phase 8,codez-platform,planned,codez-platform implementation in Phase 3 and Phase 8; Electron remains the behavioral baseline until replacement evidence is linked.,src/tests/git-context-service.test.ts;src/tests/glob-tool.test.ts;src/tests/grep-tool.test.ts;src/tests/project-analysis-service.test.ts;src/tests/read-tool.test.ts;src/tests/right-workspace-tabs.test.ts;src/tests/workspace-permission-store.test.ts;src/tests/workspace-service.test.ts,windows-x64; macos; linux
FR-WS-02,所有受工作区约束的文件操作必须经过规范化、边界校验和符号链接防逃逸检查。,Phase 3 and Phase 8,codez-platform,planned,codez-platform implementation in Phase 3 and Phase 8; Electron remains the behavioral baseline until replacement evidence is linked.,src/tests/git-context-service.test.ts;src/tests/glob-tool.test.ts;src/tests/grep-tool.test.ts;src/tests/project-analysis-service.test.ts;src/tests/read-tool.test.ts;src/tests/right-workspace-tabs.test.ts;src/tests/workspace-permission-store.test.ts;src/tests/workspace-service.test.ts,windows-x64; macos; linux
FR-WS-03,保留文件预览、编辑器/资源管理器打开、Git 上下文和 worktree 管理。,Phase 3 and Phase 8,codez-platform,planned,codez-platform implementation in Phase 3 and Phase 8; Electron remains the behavioral baseline until replacement evidence is linked.,src/tests/git-context-service.test.ts;src/tests/glob-tool.test.ts;src/tests/grep-tool.test.ts;src/tests/project-analysis-service.test.ts;src/tests/read-tool.test.ts;src/tests/right-workspace-tabs.test.ts;src/tests/workspace-permission-store.test.ts;src/tests/workspace-service.test.ts,windows-x64; macos; linux
FR-WS-04,搜索需保持忽略规则、结果限制、取消、超时和跨平台路径语义。,Phase 3 and Phase 8,codez-platform,planned,codez-platform implementation in Phase 3 and Phase 8; Electron remains the behavioral baseline until replacement evidence is linked.,src/tests/git-context-service.test.ts;src/tests/glob-tool.test.ts;src/tests/grep-tool.test.ts;src/tests/project-analysis-service.test.ts;src/tests/read-tool.test.ts;src/tests/right-workspace-tabs.test.ts;src/tests/workspace-permission-store.test.ts;src/tests/workspace-service.test.ts,windows-x64; macos; linux
